id,value,emotion
suonare,49,gioia
entrare,33,gioia
uccidere,31,rabbia
sapere,428,fiducia
dire,401,fiducia
volere,418,fiducia
fermare,98,paura
vincere,34,fiducia
uscire,82,paura
credere,135,fiducia
vedere,336,fiducia
vendere,29,fiducia
ritornare,40,gioia
prendere,159,rabbia
scendere,47,paura
sognare,75,gioia
sentire,301,paura
tenere,86,rabbia
capire,153,fiducia
accettare,14,paura
pensare,216,fiducia
scoprire,55,fiducia
andare,416,gioia
esplodere,16,rabbia
venire,169,paura
sembrare,159,rabbia
abbracciare,28,gioia
sposare,15,fiducia
vivere,165,fiducia
promettere,13,fiducia
pretendere,15,rabbia
aprire,64,paura
guardare,230,sorpresa
chiedere,128,fiducia
passare,182,rabbia
piacere,76,fiducia
dovere,135,fiducia
lottare,21,paura
ascoltare,60,gioia
combattere,16,rabbia
significare,10,gioia
costare,15,fiducia
amare,121,gioia
potere,398,fiducia
aspettare,109,fiducia
trovare,149,paura
morire,146,tristezza
nascere,81,fiducia
bruciare,67,rabbia
trasformare,20,paura
spiegare,45,fiducia
muovere,49,gioia
pigliare,10,fiducia
dare,196,rabbia
occupare,11,rabbia
rompere,20,paura
bastare,90,rabbia
imparare,34,fiducia
capitare,19,fiducia
parlare,213,rabbia
restare,150,sorpresa
mettere,95,rabbia
cancellare,19,tristezza
arrivare,114,fiducia
perdere,177,fiducia
preferire,15,fiducia
diventare,70,rabbia
sparare,24,paura
fottere,14,fiducia
mangiare,40,gioia
tangere,15,fiducia
sbagliare,45,fiducia
valere,24,fiducia
chiamare,79,rabbia
inventare,33,fiducia
sfuggire,15,paura
portare,128,fiducia
ballare,54,gioia
divertire,26,gioia
cacciare,12,rabbia
sputare,14,rabbia
mostrare,11,paura
dimenticare,51,tristezza
continuare,38,rabbia
scordare,35,fiducia
sbattere,12,rabbia
contare,26,fiducia
saltare,17,gioia
tornare,103,rabbia
cambiare,158,fiducia
rispondere,36,sorpresa
devi,24,rabbia
scegliere,31,fiducia
ripetere,11,gioia
finire,111,paura
cadere,80,paura
sorridere,57,sorpresa
piovere,38,rabbia
cercare,174,rabbia
riuscire,74,paura
gridare,55,rabbia
girare,60,fiducia
scrivere,75,fiducia
picchiare,15,rabbia
salvare,41,paura
chiudere,91,paura
ammazzare,18,rabbia
urlare,32,rabbia
lavorare,25,tristezza
ridere,70,gioia
battere,48,gioia
esistere,41,fiducia
appartenere,12,fiducia
pagare,34,fiducia
accendere,45,gioia
trascinare,20,paura
succedere,20,fiducia
nascondere,90,paura
piare,12,fiducia
regalare,26,gioia
lasciare,216,sorpresa
rilassare,10,gioia
salutare,12,sorpresa
liberare,27,paura
rimanere,74,sorpresa
aiutare,26,fiducia
dormire,89,paura
dispiacere,14,tristezza
reggere,13,fiducia
colpire,13,tristezza
servire,56,gioia
distinguere,15,sorpresa
mandare,23,fiducia
scappare,47,paura
toccare,43,gioia
respirare,44,paura
scorrere,21,gioia
mollare,11,fiducia
godere,14,gioia
avvicinare,10,paura
conoscere,60,fiducia
giocare,53,fiducia
accorgersi,34,fiducia
innamorare,40,fiducia
difendere,29,rabbia
piangere,77,paura
apparire,11,paura
addormentare,29,gioia
soffrire,34,tristezza
spezzare,20,paura
arrendere,18,tristezza
buttare,47,paura
confondere,47,paura
scoppiare,20,rabbia
ridare,17,fiducia
legare,20,paura
stringere,50,paura
svegliare,51,paura
unire,16,gioia
provare,83,paura
illuminare,27,tristezza
cantare,94,gioia
sciogliere,23,paura
voltare,18,sorpresa
riprendere,17,fiducia
fingere,19,fiducia
rendere,27,paura
consumare,23,gioia
cominciare,33,rabbia
gettare,13,paura
vestire,33,fiducia
smettere,31,rabbia
fregare,21,fiducia
son,37,paura
ricordare,62,gioia
salire,38,paura
crescere,65,gioia
stupire,12,sorpresa
invecchiare,10,tristezza
accarezzare,12,gioia
sporcare,10,paura
offrire,17,gioia
scivolare,26,paura
spegnere,34,paura
bisognare,11,fiducia
ferire,13,rabbia
svanire,10,paura
tradire,25,rabbia
impazzire,23,gioia
somigliare,22,fiducia
scaldare,20,gioia
allontanare,25,paura
tirare,31,paura
illudere,13,tristezza
piegare,12,paura
volare,101,gioia
attraversare,18,paura
curare,10,tristezza
ritrovare,31,paura
bagnare,17,gioia
tagliare,23,rabbia
riposare,17,tristezza
rubare,33,fiducia
alzare,30,gioia
studiare,17,fiducia
abbandonare,17,fiducia
sfiorare,20,gioia
riconoscere,14,fiducia
odiare,13,rabbia
soffiare,20,rabbia
dividere,31,rabbia
leggere,35,fiducia
domandare,20,sorpresa
