source,target,value
bello,1950,28.093645484949832
bello,1960,15.640599001663894
bello,1970,21.73913043478261
bello,1980,18.426103646833013
bello,1990,17.431192660550458
bello,2000,13.828689370485037
bello,2010,18.666666666666668
dolce,1950,18.06020066889632
dolce,1960,5.657237936772046
dolce,1970,6.340579710144928
dolce,1980,6.71785028790787
dolce,1990,5.402650356778797
grande,1950,10.702341137123746
grande,1960,8.818635607321132
grande,1970,12.862318840579709
grande,1980,17.85028790786948
grande,1990,13.455657492354739
grande,2000,10.8359133126935
grande,2010,15.80952380952381
lontano,1950,9.364548494983277
lontano,1960,4.492512479201332
lontano,1980,8.152173913043478
lontano,1990,10.556621880998081
lontano,2000,4.791029561671763
lontano,2010,3.8183694530443755
bianco,1950,8.695652173913043
bianco,1960,4.9916805324459235
bianco,1970,7.608695652173914
bianco,1980,7.293666026871401
bianco,1990,5.09683995922528
bianco,2000,4.437564499484004
bianco,2010,5.333333333333334
vivo,1950,6.688963210702341
vivo,1960,6.322795341098169
vivo,1980,5.072463768115942
vivo,1990,14.971209213051823
vivo,2000,7.135575942915392
vivo,2010,4.3343653250774
nuovo,1950,5.016722408026756
nuovo,1960,5.990016638935108
nuovo,1970,8.695652173913043
nuovo,1980,10.9404990403071
nuovo,1990,11.416921508664627
nuovo,2000,11.55830753353973
nuovo,2010,13.523809523809524
vero,1960,14.046822742474916
vero,1970,9.650582362728786
vero,1980,9.420289855072465
vero,1990,18.809980806142036
vero,2000,7.747196738022426
vero,2010,6.29514963880289
forte,1960,5.351170568561873
forte,1970,6.4891846921797
forte,1980,5.615942028985507
forte,1990,13.81957773512476
forte,2000,5.5045871559633035
forte,2010,4.12796697626419
strano,1970,21.070234113712374
strano,1980,7.154742096505824
strano,1990,11.77536231884058
strano,2000,10.17274472168906
