source,target,value
cuore,1950,44.481605351170565
cuore,1960,17.470881863560734
cuore,1970,26.6304347826087
cuore,1980,31.285988483685223
cuore,1990,26.19775739041794
cuore,2000,22.084623323013417
cuore,2010,24.0
amore,1950,43.812709030100336
amore,1960,45.25790349417637
amore,1970,49.275362318840585
amore,1980,46.257197696737045
amore,1990,34.25076452599388
amore,2000,30.4437564499484
amore,2010,35.80952380952381
vita,1950,31.438127090301005
vita,1960,26.788685524126453
vita,1970,23.007246376811594
vita,1980,27.2552783109405
vita,1990,31.906218144750255
vita,2000,26.006191950464398
vita,2010,32.761904761904766
giorno,1950,19.39799331103679
giorno,1960,27.953410981697168
giorno,1970,28.07971014492754
giorno,1980,24.760076775431862
giorno,1990,23.751274209989806
giorno,2000,23.52941176470588
giorno,2010,29.714285714285715
sole,1950,18.394648829431436
sole,1960,19.800332778702163
sole,1970,20.28985507246377
sole,1980,19.577735124760075
sole,1990,17.940876656472987
sole,2000,16.09907120743034
sole,2010,18.285714285714285
mondo,1950,16.387959866220736
mondo,1960,22.129783693843592
mondo,1970,15.39855072463768
mondo,1980,22.072936660268713
mondo,1990,24.057084607543324
mondo,2000,19.298245614035086
mondo,2010,26.476190476190474
tempo,1950,16.05351170568562
tempo,1960,10.316139767054908
tempo,1970,19.565217391304348
tempo,1980,19.577735124760075
tempo,1990,24.97451580020387
tempo,2000,25.696594427244584
tempo,2010,30.857142857142854
notte,1950,15.050167224080269
notte,1960,13.976705490848584
notte,1970,19.384057971014492
notte,1980,23.224568138195778
notte,1990,21.202854230377167
notte,2000,19.09184726522188
notte,2010,20.57142857142857
occhio,1950,14.381270903010032
occhio,1960,22.129783693843592
occhio,1970,30.61594202898551
occhio,1980,24.760076775431862
occhio,1990,23.547400611620795
occhio,2000,23.52941176470588
occhio,2010,24.952380952380953
mano,1950,12.040133779264215
mano,1960,16.80532445923461
mano,1970,24.27536231884058
mano,1980,21.689059500959694
mano,1990,18.654434250764528
mano,2000,20.020639834881322
mano,2010,21.714285714285715
