source,target,value
dire,1950,49.49832775919732
dire,1960,39.267886855241265
dire,1970,47.46376811594203
dire,1980,39.34740882917466
dire,1990,40.87665647298675
dire,2000,40.14447884416924
dire,2010,44.57142857142857
volere,1950,40.13377926421405
volere,1960,44.42595673876872
volere,1970,45.471014492753625
volere,1980,43.37811900191939
volere,1990,42.60958205912334
volere,2000,46.542827657378744
volere,2010,47.42857142857143
potere,1950,34.11371237458194
potere,1960,29.61730449251248
potere,1970,35.869565217391305
potere,1980,32.437619961612285
potere,1990,40.57084607543323
potere,2000,33.539731682146545
potere,2010,36.76190476190476
sapere,1950,32.441471571906355
sapere,1960,38.43594009983361
sapere,1970,45.65217391304348
sapere,1980,43.5700575815739
sapere,1990,43.6289500509684
sapere,2000,46.43962848297213
sapere,2010,45.714285714285715
andare,1950,31.438127090301005
andare,1960,32.4459234608985
andare,1970,42.572463768115945
andare,1980,47.98464491362764
andare,1990,42.40570846075433
andare,2000,39.42208462332301
andare,2010,45.52380952380952
sentire,1950,29.09698996655518
sentire,1960,21.630615640599
sentire,1970,22.644927536231883
sentire,1980,22.84069097888676
sentire,1990,30.68297655453619
sentire,2000,29.30856553147575
sentire,2010,33.904761904761905
vedere,1950,25.75250836120401
vedere,1960,29.61730449251248
vedere,1970,30.978260869565215
vedere,1980,28.79078694817658
vedere,1990,34.25076452599388
vedere,2000,31.166150670794636
vedere,2010,33.33333333333333
lasciare,1950,19.063545150501675
lasciare,1960,17.470881863560734
lasciare,1970,22.10144927536232
lasciare,1980,21.30518234165067
lasciare,1990,22.018348623853214
lasciare,2000,20.330237358101137
lasciare,2010,23.809523809523807
pensare,1960,32.441471571906355
pensare,1970,20.133111480865225
pensare,1980,21.3768115942029
pensare,1990,41.45873320537428
pensare,2000,22.52803261977574
pensare,2010,14.551083591331269
guardare,1960,25.08361204013378
guardare,1970,20.465890183028286
guardare,1980,18.115942028985508
guardare,1990,44.145873320537426
guardare,2000,23.037716615698265
guardare,2010,14.75748194014448
