id,value,emotion
piacere,33,fiducia
andare,250,gioia
potere,169,fiducia
vendere,10,fiducia
bastare,49,rabbia
prendere,87,rabbia
restare,58,sorpresa
pensare,118,fiducia
correre,41,gioia
porgere,11,fiducia
cambiare,79,fiducia
sapere,227,fiducia
venire,100,paura
camminare,30,paura
trovare,75,paura
mangiare,17,gioia
amare,70,gioia
entrare,23,gioia
dare,102,rabbia
imparare,18,fiducia
tirare,21,paura
girare,25,fiducia
divertire,12,gioia
aspettare,66,fiducia
passare,72,rabbia
aprire,35,paura
credere,71,fiducia
guardare,100,sorpresa
piovere,20,rabbia
muovere,27,gioia
stancare,12,tristezza
decidere,17,rabbia
sognare,39,gioia
addormentare,10,gioia
inventare,32,fiducia
bruciare,27,rabbia
vedere,150,fiducia
raccontare,16,gioia
accarezzare,14,gioia
scordare,18,fiducia
morire,74,tristezza
succedere,11,fiducia
capire,72,fiducia
dire,205,fiducia
sbagliare,30,fiducia
volere,226,fiducia
sembrare,71,rabbia
riuscire,31,paura
vincere,30,fiducia
rendere,11,paura
valere,15,fiducia
volare,69,gioia
ripetere,12,gioia
rubare,21,fiducia
scegliere,12,fiducia
pagare,13,fiducia
portare,65,fiducia
svegliare,26,paura
perdere,73,fiducia
tenere,48,rabbia
scendere,29,paura
lasciare,111,sorpresa
cantare,60,gioia
sentire,119,paura
battere,27,gioia
chiedere,48,fiducia
tornare,61,rabbia
piangere,55,paura
sorridere,26,sorpresa
salire,15,paura
fermare,61,paura
stringere,31,paura
cercare,121,rabbia
incontrare,33,fiducia
vivere,81,fiducia
nascondere,32,paura
dormire,58,paura
sparire,10,paura
crescere,28,gioia
arrivare,56,fiducia
accendere,21,gioia
scaldare,14,gioia
bere,22,gioia
ballare,25,gioia
buttare,24,paura
confondere,19,paura
spegnere,12,paura
sorprendere,11,sorpresa
ritornare,41,gioia
finire,63,paura
abbracciare,15,gioia
fuggire,12,paura
chiudere,41,paura
difendere,14,rabbia
seguire,20,gioia
nascere,58,fiducia
mettere,55,rabbia
accorgersi,27,fiducia
fingere,12,fiducia
mancare,21,fiducia
uscire,37,paura
sedere,11,tristezza
ascoltare,20,gioia
colorare,11,gioia
immaginare,18,fiducia
dovere,61,fiducia
gridare,25,rabbia
divergere,10,gioia
giocare,33,fiducia
mandare,12,fiducia
parlare,94,rabbia
spezzare,14,paura
ricordare,31,gioia
rimanere,46,sorpresa
scoprire,21,fiducia
arrendere,13,tristezza
innamorare,32,fiducia
provare,29,paura
aiutare,11,fiducia
ricominciare,13,fiducia
ridere,43,gioia
continuare,25,rabbia
suonare,32,gioia
cadere,44,paura
inseguire,13,paura
cominciare,19,rabbia
illuminare,11,tristezza
impazzire,11,gioia
servire,27,gioia
sfiorare,14,gioia
baciare,22,gioia
raggiungere,10,gioia
chiamare,31,rabbia
dimenticare,19,tristezza
consumare,14,gioia
respirare,29,paura
toccare,31,gioia
raccogliere,11,gioia
alzare,17,gioia
fregare,10,fiducia
smettere,10,rabbia
riempire,13,gioia
partire,23,gioia
diventare,44,rabbia
rispondere,14,sorpresa
scappare,23,paura
comprare,12,fiducia
scivolare,14,paura
soffiare,10,rabbia
leggere,13,fiducia
tradire,14,rabbia
importare,21,fiducia
spiegare,14,fiducia
contare,11,fiducia
scrivere,19,fiducia
conoscere,22,fiducia
tremare,11,paura
gettare,12,paura
vestire,12,fiducia
legare,13,paura
son,18,paura
convincere,11,fiducia
lavorare,13,tristezza
soffrire,12,tristezza
ritrovare,14,paura
ammazzare,10,rabbia
disperare,10,paura
sposare,14,fiducia
